id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
kucoin-token,63,KCS,KuCoin Token,96732986.4258510000000000,170118638.0000000000000000,434129235.8307845835865775,400340.8647098350366077,4.4879130880918150,-0.9485583804066218,4.5099222185250199,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
chiliz,64,CHZ,Chiliz,7401879904.8224830000000000,8888888888.0000000000000000,427327749.9806391686233727,5185144.9802434290566109,0.0577323268514835,-0.2929541976672718,0.0577737511131072,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
conflux-network,65,CFX,Conflux,3263600985.4792840000000000,,411927256.7055562998678052,5843002.1501417519898568,0.1262186335089189,0.9713157056190037,0.1265764243014808,http://www.confluxscan.io/
iota,66,MIOTA,IOTA,2779530283.0000000000000000,2779530283.0000000000000000,411477136.9023151145060966,1330230.7592759267135201,0.1480383715978802,-1.3201555687564394,0.1504603504225561,https://thetangle.org/
ftx-token,67,FTT,FTX Token,328895103.8132070000000000,352170015.0000000000000000,410798910.9373481891180781,48173543.3687400294927248,1.2490271401870966,11.5370280237960102,1.2682301006616446,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
frax-share,68,FXS,Frax Share,73689939.5383746600000000,,405922177.5348729894579369,284601.6571514844754581,5.5085155460534145,2.0319603568519997,5.4393498448591560,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
huobi-token,69,HT,Huobi Token,162233844.0000000000000000,500000000.0000000000000000,399398303.8314186469046916,1717030.6593609509971545,2.4618679677676789,-0.0376390582372152,2.4692779273615855,https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
gatetoken,70,GT,GateToken,96042670.2508716000000000,,373223846.5503132121268891,311345.0650177331879573,3.8860211359744671,-0.1265716079578685,3.8765592855089499,
mina,71,MINA,Mina,970294808.8400393000000000,,368200626.8271260964640864,2362449.1261206713818380,0.3794729431432286,-1.1274622463303469,0.3823242275058118,https://minaexplorer.com/
casper,72,CSPR,Casper,11328069056.0000000000000000,,363506436.4981474469858880,381616.6439159600312291,0.0320890025211855,-0.9542143985160648,0.0323568676680779,https://casperstats.io/
klaytn,73,KLAY,Klaytn,3185529219.0609000000000000,,355970975.5190862137105478,2786279.8561669394079675,0.1117462597389162,0.0044008621837478,0.1124404106025738,https://scope.klaytn.com/blocks
compound,74,COMP,Compound,7827213.7835756500000000,10000000.0000000000000000,325200996.2467243832078294,9895805.8567095003302520,41.5474784819490572,3.6589097154307264,40.4634067227269388,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
trust-wallet-token,75,TWT,Trust Wallet Token,416649900.0000000000000000,1000000000.0000000000000000,319839115.0684869683539800,802356.6411136449529896,0.7676447661897602,-1.0136053720528973,0.7692363020613139,https://explorer.binance.org/asset/TWT-8C2
gala,76,GALA,Gala,23824157447.8805120000000000,50000000000.0000000000000000,318305235.5784059909622813,12885413.6387911089967434,0.0133606082932735,-0.1285388272214938,0.0133694826016374,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
dash,77,DASH,Dash,11457872.0308388000000000,18900000.0000000000000000,306838192.7236294552229332,22551380.5911262519439983,26.7796840371210409,-1.7320323483755576,26.6776345213892614,https://explorer.dash.org
dydx,78,DYDX,dYdX,156256174.0000000000000000,1000000000.0000000000000000,296108495.3598040584218414,5622112.7100147617268991,1.8950194912605761,-1.0237124804881029,1.8992068746417415,
wootrade,79,WOO,WOO Network,1750710964.9264660000000000,,290228096.3473035974614195,3520296.7355498921744497,0.1657772768673405,-0.4764766925318159,0.1662253780315531,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
nexo,80,NEXO,Nexo,560000011.0000000000000000,1000000000.0000000000000000,289316281.8305143534690657,132855.2684802536926129,0.5166362074062787,-2.4215536731626048,0.5565901424026209,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
oasis-network,81,ROSE,Oasis Network,6542267493.0000000000000000,10000000000.0000000000000000,270887398.0896641872259682,1778794.7478155274570799,0.0414057356076474,-0.4032229394531035,0.0416932072465146,https://www.oasisscan.com/
arweave,82,AR,Arweave,65454185.0000000000000000,66000000.0000000000000000,267409113.1360045460968525,991304.8976891357158044,4.0854395045328965,-1.0938609273618997,4.1247796310489335,https://viewblock.io/arweave
1inch,83,1INCH,1inch Network,1034878815.9026903000000000,,265406601.5615989048188388,6306369.5556052232030967,0.2564615271693368,-1.7347336633573519,0.2584728738306606,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
zilliqa,84,ZIL,Zilliqa,15867699446.7699000000000000,21000000000.0000000000000000,265198119.2559429939327744,5827942.0052798178519456,0.0167130793058932,-3.7734536189204314,0.0170678209763906,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
basic-attention-token,85,BAT,Basic Attention Token,1489973009.9526057000000000,1500000000.0000000000000000,255915709.6914398506882948,8318761.1228848737479988,0.1717586211172914,-1.5946384950627415,0.1741701652603298,https://etherscan.io/token/Bat
gnosis-gno,86,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,255247434.3923569322605692,1171414.4972622202370942,98.5668123239515059,-0.9824676006948070,98.9124815140967032,https://etherscan.io/token/Gnosis
pancakeswap,87,CAKE,PancakeSwap,216147396.1467151300000000,750000000.0000000000000000,246096601.3664431354217662,2449810.6864368712629072,1.1385591765324773,-0.7965817089645910,1.1444840563476518,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
celo,88,CELO,Celo,511790944.0000000000000000,1000000000.0000000000000000,240650222.4235421392687712,6178603.3938281590716264,0.4702119590915273,1.3284751856881895,0.4696556498987663,https://explorer.celo.org/blocks
convex-finance,89,CVX,Convex Finance,80526260.5262845800000000,100000000.0000000000000000,235176029.6063908604359890,154078.1627451375119111,2.9204886464289130,2.0037707920616743,2.9338421954822097,https://etherscan.io/token/0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
aelf,90,ELF,aelf,643572034.6591900000000000,1000000000.0000000000000000,233988400.2609865062477620,8997406.2034690756504126,0.3635776380260174,-0.4832641830506008,0.3820160282635787,https://etherscan.io/token/0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e
nem,91,XEM,NEM,8999999999.0000000000000000,8999999999.0000000000000000,230067379.1525459578690990,3560420.7095722056964722,0.0255630421309010,-1.4250378513825293,0.0262692524603586,http://nembex.nem.ninja/
loopring,92,LRC,Loopring,1331648782.6573877000000000,1374513896.0000000000000000,229300769.5153433689256065,2625559.6853586650591787,0.1721931281743520,-0.7642582982006458,0.1725757673477006,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
qtum,93,QTUM,Qtum,104755842.0000000000000000,107822406.0000000000000000,228199624.0681503152450880,6771372.8430516313554727,2.1783952065236640,-1.2869315389633038,2.2038386736065809,https://qtum.info/
enjin-coin,94,ENJ,Enjin Coin,1000000000.0000000000000000,1000000000.0000000000000000,225428555.4095362000000000,3496587.4281201625934426,0.2254285554095362,-0.7149144747562996,0.2282920972174838,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
singularitynet,95,AGIX,SingularityNET,1232684305.8849294000000000,2000000000.0000000000000000,219031508.7304826870733156,471194.3413273625184877,0.1776866207226047,-0.0461890256480552,0.1783337761061468,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
mask-network,96,MASK,Mask Network,82112500.0000000000000000,100000000.0000000000000000,214763126.5445782245712500,10384188.3511899036804866,2.6154742157963553,-0.7367681213006216,2.6373150259375880,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074
helium,97,HNT,Helium,143934820.8303076600000000,223000000.0000000000000000,210042224.1303080547110487,288098.3470394717539602,1.4592870781277999,-1.5450108673938594,1.5171735380218944,https://explorer.helium.com/
theta-fuel,98,TFUEL,Theta Fuel,6282912492.0000000000000000,,206975078.7392565226889892,506269.3267378711456152,0.0329425372393451,-3.1966197955043303,0.0333805628091570,https://explorer.thetatoken.org/
decred,99,DCR,Decred,15500739.7701969500000000,21000000.0000000000000000,205460989.5760417758050642,3706442.4287014415029897,13.2549150957994065,1.9239806060607668,14.0725325748727138,https://mainnet.decred.org/
just,100,JST,JUST,8902080000.0000000000000000,9900000000.0000000000000000,199855442.5230941392320000,7464096.2252588805769872,0.0224504208592929,-1.6234080477323114,0.0226791278204684,https://tronscan.org/#/token20/TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9
